"Player","Team","Position","From","To","Date (EST)","Period"
"Josh Hart","POR/NY","<b>SG</b>,G,SF,F","Always Droppin Dimes","Kelvin got No Dimes","Sun Feb 12, 2023, 1:00PM","118"
"Tobias Harris","PHI","SF,<b>PF</b>,F","Kelvin got No Dimes","Always Droppin Dimes","Sun Feb 12, 2023, 1:00PM","118"
"2027 Draft Pick, Round 2 (Kelvin got No Dimes)","","","Kelvin got No Dimes","Always Droppin Dimes","Sun Feb 12, 2023, 1:00PM","118"
"2026 Draft Pick, Round 2 (Kelvin got No Dimes)","","","Kelvin got No Dimes","Always Droppin Dimes","Sun Feb 12, 2023, 1:00PM","118"
"Jordan Clarkson","UTA","PG,<b>SG</b>,G","Ball Don't Lie","Pure Sweat Fam","Sat Feb 11, 2023, 5:00PM","117"
"2027 Draft Pick, Round 2 (Pure Sweat Fam)","","","Pure Sweat Fam","Ball Don't Lie","Sat Feb 11, 2023, 5:00PM","117"
"2026 Draft Pick, Round 2 (Pure Sweat Fam)","","","Pure Sweat Fam","Ball Don't Lie","Sat Feb 11, 2023, 5:00PM","117"
"Mo Bamba","ORL/LAL","<b>C</b>","Ball Don't Lie","Kelvin got No Dimes","Fri Feb 10, 2023, 6:00PM","116"
"Jordan Clarkson","UTA","PG,<b>SG</b>,G","Kelvin got No Dimes","Ball Don't Lie","Fri Feb 10, 2023, 6:00PM","116"
"Donte DiVincenzo","GS","PG,<b>SG</b>,G","Ball Don't Lie","Kelvin got No Dimes","Thu Feb 2, 2023, 6:00PM","108"
"Cam Reddish","NY/POR","SG,G,<b>SF</b>,F","Ball Don't Lie","Kelvin got No Dimes","Thu Feb 2, 2023, 6:00PM","108"
"2023 Draft Pick, Round 2 (Giddey Up)","","","Kelvin got No Dimes","Ball Don't Lie","Thu Feb 2, 2023, 6:00PM","108"
"Jaren Jackson","MEM","<b>PF</b>,F,C","Always Droppin Dimes","Only Franz","Sat Jan 28, 2023, 2:00PM","103"
"2024 Draft Pick, Round 2 (Freshly Washed Kings)","","","Always Droppin Dimes","Only Franz","Sat Jan 28, 2023, 2:00PM","103"
"2026 Draft Pick, Round 1 (Pure Sweat Fam)","","","Always Droppin Dimes","Only Franz","Sat Jan 28, 2023, 2:00PM","103"
"2023 Draft Pick, Round 2 (Always Droppin Dimes)","","","Always Droppin Dimes","Only Franz","Sat Jan 28, 2023, 2:00PM","103"
"Josh Hart","POR/NY","<b>SG</b>,G,SF,F","Only Franz","Always Droppin Dimes","Sat Jan 28, 2023, 2:00PM","103"
"Anthony Davis","LAL","<b>PF</b>,F,C","Only Franz","Always Droppin Dimes","Sat Jan 28, 2023, 2:00PM","103"
"2027 Draft Pick, Round 2 (Only Franz)","","","Only Franz","Always Droppin Dimes","Sat Jan 28, 2023, 2:00PM","103"
"2026 Draft Pick, Round 2 (Only Franz)","","","Only Franz","Always Droppin Dimes","Sat Jan 28, 2023, 2:00PM","103"
"2024 Draft Pick, Round 1 (Pure Sweat Fam)","","","Kelvin got No Dimes","Only Franz","Thu Jan 26, 2023, 6:30PM","101"
"2024 Draft Pick, Round 1 (Freshly Washed Kings)","","","Kelvin got No Dimes","Only Franz","Thu Jan 26, 2023, 6:30PM","101"
"Kawhi Leonard","LAC","SG,G,<b>SF</b>,F","Only Franz","Kelvin got No Dimes","Thu Jan 26, 2023, 6:30PM","101"
"2025 Draft Pick, Round 1 (Pure Sweat Fam)","","","Giddey Up","Pure Sweat Fam","Wed Jan 18, 2023, 6:30PM","93"
"2027 Draft Pick, Round 1 (Pure Sweat Fam)","","","Giddey Up","Pure Sweat Fam","Wed Jan 18, 2023, 6:30PM","93"
"Tyrese Maxey","PHI","PG,<b>SG</b>,G","Giddey Up","Pure Sweat Fam","Tue Jan 17, 2023, 7:59PM","93"
"Ben Simmons","BKN","<b>PG</b>,G,PF,F","Giddey Up","Pure Sweat Fam","Tue Jan 17, 2023, 7:59PM","93"
"Jaylen Brown","BOS","SG,G,<b>SF</b>,F","Giddey Up","Pure Sweat Fam","Tue Jan 17, 2023, 7:59PM","93"
"Jayson Tatum","BOS","<b>SF</b>,PF,F","Pure Sweat Fam","Giddey Up","Tue Jan 17, 2023, 7:59PM","93"
"2027 Draft Pick, Round 1 (Pure Sweat Fam)","","","Pure Sweat Fam","Giddey Up","Tue Jan 17, 2023, 7:59PM","93"
"2025 Draft Pick, Round 1 (Pure Sweat Fam)","","","Pure Sweat Fam","Giddey Up","Tue Jan 17, 2023, 7:59PM","93"
"Dennis Smith","CHA","<b>PG</b>,G","Freshly Washed Kings","Only Franz","Mon Jan 2, 2023, 2:00PM","77"
"Wendell Carter","ORL","PF,F,<b>C</b>","Freshly Washed Kings","Only Franz","Mon Jan 2, 2023, 2:00PM","77"
"2026 Draft Pick, Round 1 (Freshly Washed Kings)","","","Freshly Washed Kings","Only Franz","Mon Jan 2, 2023, 2:00PM","77"
"Kyrie Irving","BKN/DAL","<b>PG</b>,SG,G","Only Franz","Freshly Washed Kings","Mon Jan 2, 2023, 2:00PM","77"
"2026 Draft Pick, Round 1 (Charlotte Wobnets)","","","Freshly Washed Kings","Lob Land","Mon Jan 2, 2023, 2:00PM","77"
"2024 Draft Pick, Round 1 (Ice Trae)","","","Lob Land","Freshly Washed Kings","Mon Jan 2, 2023, 2:00PM","77"
"2026 Draft Pick, Round 2 (Ball Don't Lie)","","","Lob Land","Freshly Washed Kings","Mon Jan 2, 2023, 2:00PM","77"
"2026 Draft Pick, Round 2 (Lob Land)","","","Lob Land","Freshly Washed Kings","Mon Jan 2, 2023, 2:00PM","77"
"De'Andre Hunter","ATL","<b>SF</b>,PF,F","Charlotte Wobnets","Kelvin got No Dimes","Wed Dec 21, 2022, 6:00PM","65"
"2023 Draft Pick, Round 2 (Giddey Up)","","","Charlotte Wobnets","Kelvin got No Dimes","Wed Dec 21, 2022, 6:00PM","65"
"2023 Draft Pick, Round 2 (Pure Sweat Fam)","","","Charlotte Wobnets","Kelvin got No Dimes","Wed Dec 21, 2022, 6:00PM","65"
